Scenario,ChangedParameter,ChangedValue,CSVFile,BatchIndex,ModelStatus,HasSolution,BatchObjective,MIPGap,RuntimeSeconds,NumOrders,NumValidArcs,NumXVars,NumZVars,BatchDemand,BatchServed,BatchUnserved,BatchServiceRate
GRID_CELL_SIZE_KM_2p25,GRID_CELL_SIZE_KM,2.25,candidate_vertiports_SF_k9.csv,1,OPTIMAL,True,87044.37142358333,8.616295663035394e-08,0.2873671054840088,210,18,3780,180,250,250.0,0.0,1.0
GRID_CELL_SIZE_KM_2p25,GRID_CELL_SIZE_KM,2.25,candidate_vertiports_SF_k9.csv,2,OPTIMAL,True,110521.2742348951,5.4288193300998255e-08,0.8861639499664307,205,18,3690,180,302,302.0,0.0,1.0
GRID_CELL_SIZE_KM_2p25,GRID_CELL_SIZE_KM,2.25,candidate_vertiports_SF_k9.csv,3,OPTIMAL,True,139186.22167159073,3.412693485476557e-08,0.9830009937286377,290,18,5220,180,386,386.0,0.0,1.0
GRID_CELL_SIZE_KM_2p25,GRID_CELL_SIZE_KM,2.25,candidate_vertiports_SF_k9.csv,4,OPTIMAL,True,193377.541859183,0.0005560318409145459,0.9009268283843994,408,18,7344,180,538,538.0,0.0,1.0
GRID_CELL_SIZE_KM_2p25,GRID_CELL_SIZE_KM,2.25,candidate_vertiports_SF_k9.csv,5,OPTIMAL,True,134808.6059646363,5.00709810635181e-08,1.2056708335876465,336,18,6048,180,388,388.0,0.0,1.0
GRID_CELL_SIZE_KM_2p25,GRID_CELL_SIZE_KM,2.25,candidate_vertiports_SF_k9.csv,6,OPTIMAL,True,84713.86879001047,6.492444020296126e-08,0.32622313499450684,248,18,4464,180,260,260.0,0.0,1.0
GRID_CELL_SIZE_KM_2p25,GRID_CELL_SIZE_KM,2.25,candidate_vertiports_SF_k9.csv,7,OPTIMAL,True,111584.2885447014,5.825193128447909e-08,0.29325294494628906,335,18,6030,180,348,348.0,0.0,1.0
GRID_CELL_SIZE_KM_2p25,GRID_CELL_SIZE_KM,2.25,candidate_vertiports_SF_k9.csv,8,OPTIMAL,True,119485.99270079569,4.3938206127211444e-08,0.2846250534057617,363,18,6534,180,372,372.0,0.0,1.0
GRID_CELL_SIZE_KM_2p25,GRID_CELL_SIZE_KM,2.25,candidate_vertiports_SF_k9.csv,9,OPTIMAL,True,119162.42772179881,1.3433014967246508e-15,0.5129261016845703,379,18,6822,180,387,387.0,0.0,1.0
GRID_CELL_SIZE_KM_2p25,GRID_CELL_SIZE_KM,2.25,candidate_vertiports_SF_k9.csv,10,OPTIMAL,True,93092.28792131803,0.007960345826934553,0.3580479621887207,287,18,5166,180,288,288.0,0.0,1.0
GRID_CELL_SIZE_KM_2p25,GRID_CELL_SIZE_KM,2.25,candidate_vertiports_SF_k9.csv,11,OPTIMAL,True,73596.33705780654,7.13350757435362e-08,0.5584430694580078,176,18,3168,180,212,212.0,0.0,1.0
GRID_CELL_SIZE_KM_2p25,GRID_CELL_SIZE_KM,2.25,candidate_vertiports_SF_k9.csv,12,OPTIMAL,True,118098.57171028492,3.810376553526272e-08,0.3345170021057129,299,18,5382,180,353,353.0,0.0,1.0
GRID_CELL_SIZE_KM_2p25,GRID_CELL_SIZE_KM,2.25,candidate_vertiports_SF_k9.csv,13,OPTIMAL,True,161599.77960251967,0.004396560190125989,0.5001490116119385,422,18,7596,180,474,474.0,0.0,1.0
GRID_CELL_SIZE_KM_2p25,GRID_CELL_SIZE_KM,2.25,candidate_vertiports_SF_k9.csv,14,OPTIMAL,True,168461.01585051752,0.0015997281094534564,0.40583300590515137,466,18,8388,180,512,512.0,0.0,1.0
GRID_CELL_SIZE_KM_2p25,GRID_CELL_SIZE_KM,2.25,candidate_vertiports_SF_k9.csv,15,OPTIMAL,True,140258.69197832712,3.7430830861148624e-08,0.3311638832092285,378,18,6804,180,412,412.0,0.0,1.0
GRID_CELL_SIZE_KM_2p25,GRID_CELL_SIZE_KM,2.25,candidate_vertiports_SF_k9.csv,16,OPTIMAL,True,118299.00980043647,3.5925915755688335e-08,0.7293570041656494,343,18,6174,180,357,357.0,0.0,1.0
GRID_CELL_SIZE_KM_2p25,GRID_CELL_SIZE_KM,2.25,candidate_vertiports_SF_k9.csv,17,OPTIMAL,True,155056.5325322126,4.192018990718117e-08,0.800166130065918,401,18,7218,180,451,451.0,0.0,1.0
GRID_CELL_SIZE_KM_2p25,GRID_CELL_SIZE_KM,2.25,candidate_vertiports_SF_k9.csv,18,OPTIMAL,True,159832.3133953304,0.00871437376330509,0.9188220500946045,407,18,7326,180,456,456.0,0.0,1.0
GRID_CELL_SIZE_KM_2p25,GRID_CELL_SIZE_KM,2.25,candidate_vertiports_SF_k9.csv,19,OPTIMAL,True,63997.7164287825,0.0,0.8196511268615723,181,18,3258,180,187,187.0,0.0,1.0
GRID_CELL_SIZE_KM_2p25,GRID_CELL_SIZE_KM,2.25,candidate_vertiports_SF_k9.csv,20,OPTIMAL,True,53151.15319927833,0.0,0.7126061916351318,127,18,2286,180,154,154.0,0.0,1.0
GRID_CELL_SIZE_KM_2p25,GRID_CELL_SIZE_KM,2.25,candidate_vertiports_SF_k9.csv,21,OPTIMAL,True,113467.83366623415,4.1862085870795754e-08,0.9178159236907959,253,18,4554,180,330,330.0,0.0,1.0
GRID_CELL_SIZE_KM_2p25,GRID_CELL_SIZE_KM,2.25,candidate_vertiports_SF_k9.csv,22,OPTIMAL,True,130573.79317240352,4.978028192373612e-08,0.3412051200866699,340,18,6120,180,388,388.0,0.0,1.0
GRID_CELL_SIZE_KM_2p25,GRID_CELL_SIZE_KM,2.25,candidate_vertiports_SF_k9.csv,23,OPTIMAL,True,207868.26938667474,0.006108239874399357,0.3170638084411621,450,18,8100,180,579,579.0,0.0,1.0
GRID_CELL_SIZE_KM_2p25,GRID_CELL_SIZE_KM,2.25,candidate_vertiports_SF_k9.csv,24,OPTIMAL,True,152218.79703051483,4.270168648753671e-08,0.5117721557617188,381,18,6858,180,439,439.0,0.0,1.0
GRID_CELL_SIZE_KM_2p25,GRID_CELL_SIZE_KM,2.25,candidate_vertiports_SF_k9.csv,25,OPTIMAL,True,100603.95012692548,2.892911304179934e-15,0.3061971664428711,263,18,4734,180,296,296.0,0.0,1.0
GRID_CELL_SIZE_KM_2p25,GRID_CELL_SIZE_KM,2.25,candidate_vertiports_SF_k9.csv,26,OPTIMAL,True,102263.41629371661,3.9843537519223975e-15,0.28002405166625977,291,18,5238,180,312,312.0,0.0,1.0
GRID_CELL_SIZE_KM_2p25,GRID_CELL_SIZE_KM,2.25,candidate_vertiports_SF_k9.csv,27,OPTIMAL,True,144243.79950706207,4.15962373777082e-08,0.2786848545074463,385,18,6930,180,428,428.0,0.0,1.0
GRID_CELL_SIZE_KM_2p25,GRID_CELL_SIZE_KM,2.25,candidate_vertiports_SF_k9.csv,28,OPTIMAL,True,92293.86764267008,6.230100027200459e-08,0.670659065246582,258,18,4644,180,269,269.0,0.0,1.0
GRID_CELL_SIZE_KM_2p25,GRID_CELL_SIZE_KM,2.25,candidate_vertiports_SF_k9.csv,29,OPTIMAL,True,21904.313888406035,1.940257082682136e-07,0.37261104583740234,74,18,1332,180,74,74.0,0.0,1.0
GRID_CELL_SIZE_KM_2p25,GRID_CELL_SIZE_KM,2.25,candidate_vertiports_SF_k9.csv,30,OPTIMAL,True,47222.159462843716,9.529424019301118e-08,0.7535209655761719,120,18,2160,180,136,136.0,0.0,1.0
