Scenario,ChangedParameter,ChangedValue,CSVFile,BatchIndex,ModelStatus,HasSolution,BatchObjective,MIPGap,RuntimeSeconds,NumOrders,NumValidArcs,NumXVars,NumZVars,BatchDemand,BatchServed,BatchUnserved,BatchServiceRate
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,OPTIMAL,True,66979.87850230842,1.1197393171473859e-07,0.27213096618652344,210,18,3780,180,250,250.0,0.0,1.0
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,2,OPTIMAL,True,84928.2476015764,7.064787695839311e-08,0.47468996047973633,205,18,3690,180,302,302.0,0.0,1.0
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,3,OPTIMAL,True,106961.23173394332,4.440861724602317e-08,0.5682990550994873,290,18,5220,180,386,386.0,0.0,1.0
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,4,OPTIMAL,True,148704.73526426058,0.000521173083193326,0.8589129447937012,408,18,7344,180,538,538.0,0.0,1.0
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,5,OPTIMAL,True,103760.55414187719,6.505362734707042e-08,0.4035179615020752,336,18,6048,180,388,388.0,0.0,1.0
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,6,OPTIMAL,True,65364.51132075757,8.414351620274338e-08,0.3861849308013916,248,18,4464,180,260,260.0,0.0,1.0
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,7,OPTIMAL,True,86136.9441666145,7.546123811496783e-08,0.9502511024475098,335,18,6030,180,348,348.0,0.0,1.0
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,8,OPTIMAL,True,92235.29975407425,5.6919643660060494e-08,0.9566159248352051,363,18,6534,180,372,372.0,0.0,1.0
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,9,OPTIMAL,True,92129.78542947934,4.58055491669046e-15,0.9978909492492676,379,18,6822,180,387,387.0,0.0,1.0
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,10,OPTIMAL,True,71823.80353740518,0.007443976435694386,0.9146091938018799,287,18,5166,180,288,288.0,0.0,1.0
