Scenario,ChangedParameter,ChangedValue,CSVFile,BatchIndex,ModelStatus,HasSolution,BatchObjective,MIPGap,RuntimeSeconds,NumOrders,NumValidArcs,NumXVars,NumZVars,BatchDemand,BatchServed,BatchUnserved,BatchServiceRate
baseline,none,baseline,candidate_vertiports_SF_k9.csv,1,OPTIMAL,True,62372.28809024935,1.2024570590839905e-07,0.2735590934753418,210,18,3780,180,250,250.0,0.0,1.0
baseline,none,baseline,candidate_vertiports_SF_k9.csv,2,OPTIMAL,True,79056.69090156157,7.589490692374403e-08,0.34624695777893066,205,18,3690,180,302,302.0,0.0,1.0
baseline,none,baseline,candidate_vertiports_SF_k9.csv,3,OPTIMAL,True,99567.88833825818,4.770614593054323e-08,0.8859238624572754,290,18,5220,180,386,386.0,0.0,1.0
baseline,none,baseline,candidate_vertiports_SF_k9.csv,4,OPTIMAL,True,138448.5819932948,0.0005117958082672851,0.7067160606384277,408,18,7344,180,538,538.0,0.0,1.0
baseline,none,baseline,candidate_vertiports_SF_k9.csv,5,OPTIMAL,True,96629.4392979705,6.985449198926628e-08,0.8067560195922852,336,18,6048,180,388,388.0,0.0,1.0
baseline,none,baseline,candidate_vertiports_SF_k9.csv,6,OPTIMAL,True,60912.61879000967,9.029327320586545e-08,0.7447221279144287,248,18,4464,180,260,260.0,0.0,1.0
baseline,none,baseline,candidate_vertiports_SF_k9.csv,7,OPTIMAL,True,80280.12187803438,8.096649831030785e-08,0.7465469837188721,335,18,6030,180,348,348.0,0.0,1.0
baseline,none,baseline,candidate_vertiports_SF_k9.csv,8,OPTIMAL,True,85963.49270079535,6.107244015999551e-08,0.4531519412994385,363,18,6534,180,372,372.0,0.0,1.0
baseline,none,baseline,candidate_vertiports_SF_k9.csv,9,OPTIMAL,True,85901.1777217986,4.065671446460024e-15,0.4257209300994873,379,18,6822,180,387,387.0,0.0,1.0
baseline,none,baseline,candidate_vertiports_SF_k9.csv,10,OPTIMAL,True,66930.62125465114,0.00730552717388382,0.31970691680908203,287,18,5166,180,288,288.0,0.0,1.0
baseline,none,baseline,candidate_vertiports_SF_k9.csv,11,OPTIMAL,True,52751.33705780612,9.95235403100219e-08,0.41567206382751465,176,18,3168,180,212,212.0,0.0,1.0
baseline,none,baseline,candidate_vertiports_SF_k9.csv,12,OPTIMAL,True,84805.23837695141,5.306276410963671e-08,0.3794589042663574,299,18,5382,180,353,353.0,0.0,1.0
baseline,none,baseline,candidate_vertiports_SF_k9.csv,13,OPTIMAL,True,115789.36293585341,0.004117244845697513,0.5503461360931396,422,18,7596,180,474,474.0,0.0,1.0
baseline,none,baseline,candidate_vertiports_SF_k9.csv,14,OPTIMAL,True,121018.93251718415,0.0015072723356273836,1.088291883468628,466,18,8388,180,512,512.0,0.0,1.0
baseline,none,baseline,candidate_vertiports_SF_k9.csv,15,OPTIMAL,True,100534.94197832751,5.22206511451317e-08,0.3358609676361084,378,18,6804,180,412,412.0,0.0,1.0
baseline,none,baseline,candidate_vertiports_SF_k9.csv,16,OPTIMAL,True,84955.25980043614,5.00263351993864e-08,0.9507699012756348,343,18,6174,180,357,357.0,0.0,1.0
baseline,none,baseline,candidate_vertiports_SF_k9.csv,17,OPTIMAL,True,111061.11586554642,5.8526335160577537e-08,1.1253089904785156,401,18,7218,180,451,451.0,0.0,1.0
baseline,none,baseline,candidate_vertiports_SF_k9.csv,18,OPTIMAL,True,114383.98006199773,0.008049686543074563,0.692451000213623,407,18,7326,180,456,456.0,0.0,1.0
baseline,none,baseline,candidate_vertiports_SF_k9.csv,19,OPTIMAL,True,45884.38309544914,0.0,0.6377670764923096,181,18,3258,180,187,187.0,0.0,1.0
baseline,none,baseline,candidate_vertiports_SF_k9.csv,20,OPTIMAL,True,38067.40319927831,0.0,0.858151912689209,127,18,2286,180,154,154.0,0.0,1.0
baseline,none,baseline,candidate_vertiports_SF_k9.csv,21,OPTIMAL,True,81256.1669995672,5.84571040753901e-08,0.3463008403778076,253,18,4554,180,330,330.0,0.0,1.0
baseline,none,baseline,candidate_vertiports_SF_k9.csv,22,OPTIMAL,True,93691.70983906981,6.937647179502281e-08,0.2949869632720947,340,18,6120,180,388,388.0,0.0,1.0
baseline,none,baseline,candidate_vertiports_SF_k9.csv,23,OPTIMAL,True,148669.936053341,0.005827512551331905,0.32273292541503906,450,18,8100,180,579,579.0,0.0,1.0
baseline,none,baseline,candidate_vertiports_SF_k9.csv,24,OPTIMAL,True,109002.9974569454,5.963138944766649e-08,0.344973087310791,381,18,6858,180,439,439.0,0.0,1.0
baseline,none,baseline,candidate_vertiports_SF_k9.csv,25,OPTIMAL,True,72150.616793592,5.042200564271292e-15,0.3564291000366211,263,18,4734,180,296,296.0,0.0,1.0
baseline,none,baseline,candidate_vertiports_SF_k9.csv,26,OPTIMAL,True,73434.24962704972,3.9632502006275316e-15,0.3285958766937256,291,18,5238,180,312,312.0,0.0,1.0
baseline,none,baseline,candidate_vertiports_SF_k9.csv,27,OPTIMAL,True,103442.96617372902,5.800297720022373e-08,0.4452550411224365,385,18,6930,180,428,428.0,0.0,1.0
baseline,none,baseline,candidate_vertiports_SF_k9.csv,28,OPTIMAL,True,66072.61764266997,8.70254645442281e-08,0.7370162010192871,258,18,4644,180,269,269.0,0.0,1.0
baseline,none,baseline,candidate_vertiports_SF_k9.csv,29,OPTIMAL,True,15808.48055507269,2.6884304188188325e-07,0.6953260898590088,74,18,1332,180,74,74.0,0.0,1.0
baseline,none,baseline,candidate_vertiports_SF_k9.csv,30,OPTIMAL,True,33825.07612951044,1.3303738972113482e-07,0.7434232234954834,120,18,2160,180,136,136.0,0.0,1.0
baseline,none,baseline,candidate_vertiports_SF_k9.csv,31,OPTIMAL,True,26115.135755295898,2.2017882919286778e-07,0.31731700897216797,89,18,1602,180,102,102.0,0.0,1.0
baseline,none,baseline,candidate_vertiports_SF_k9.csv,32,OPTIMAL,True,86926.49755528614,4.3139897143313394e-08,0.5216221809387207,284,18,5112,180,341,341.0,0.0,1.0
baseline,none,baseline,candidate_vertiports_SF_k9.csv,33,OPTIMAL,True,109031.65621684823,5.044406542227334e-08,0.5529069900512695,362,18,6516,180,436,436.0,0.0,1.0
baseline,none,baseline,candidate_vertiports_SF_k9.csv,34,OPTIMAL,True,77985.26765506614,6.090894378705106e-08,0.2951469421386719,278,18,5004,180,317,317.0,0.0,1.0
baseline,none,baseline,candidate_vertiports_SF_k9.csv,35,OPTIMAL,True,70635.99707982241,7.078544188936446e-08,0.35717010498046875,253,18,4554,180,293,293.0,0.0,1.0
baseline,none,baseline,candidate_vertiports_SF_k9.csv,36,OPTIMAL,True,89594.88699245013,5.859709629077594e-08,0.6872601509094238,350,18,6300,180,380,380.0,0.0,1.0
baseline,none,baseline,candidate_vertiports_SF_k9.csv,37,OPTIMAL,True,90979.08802429016,3.358906166591992e-15,0.7235980033874512,360,18,6480,180,383,383.0,0.0,1.0
baseline,none,baseline,candidate_vertiports_SF_k9.csv,38,OPTIMAL,True,56512.691987798156,0.0,0.7786979675292969,227,18,4086,180,236,236.0,0.0,1.0
baseline,none,baseline,candidate_vertiports_SF_k9.csv,39,OPTIMAL,True,19892.447366844714,2.0108134142819534e-07,0.7368719577789307,76,18,1368,180,84,84.0,0.0,1.0
baseline,none,baseline,candidate_vertiports_SF_k9.csv,40,OPTIMAL,True,59864.562167694676,8.769795832768809e-08,0.35772705078125,177,18,3186,180,232,232.0,0.0,1.0
baseline,none,baseline,candidate_vertiports_SF_k9.csv,41,OPTIMAL,True,86827.55994210002,8.34988381372796e-08,0.3577120304107666,295,18,5310,180,347,347.0,0.0,1.0
baseline,none,baseline,candidate_vertiports_SF_k9.csv,42,OPTIMAL,True,82458.73118223483,6.973185395786889e-08,0.3090322017669678,269,18,4842,180,329,329.0,0.0,1.0
baseline,none,baseline,candidate_vertiports_SF_k9.csv,43,OPTIMAL,True,87432.8823043132,4.003070733049222e-08,0.32999491691589355,299,18,5382,180,355,355.0,0.0,1.0
baseline,none,baseline,candidate_vertiports_SF_k9.csv,44,OPTIMAL,True,71342.45786832689,6.307604724171096e-08,0.3397359848022461,252,18,4536,180,293,293.0,0.0,1.0
baseline,none,baseline,candidate_vertiports_SF_k9.csv,45,OPTIMAL,True,75008.87747193342,3.2980437412198483e-15,0.6678760051727295,292,18,5256,180,316,316.0,0.0,1.0
baseline,none,baseline,candidate_vertiports_SF_k9.csv,46,OPTIMAL,True,113393.65704204056,4.6298886782918734e-08,1.0117709636688232,429,18,7722,180,467,467.0,0.0,1.0
baseline,none,baseline,candidate_vertiports_SF_k9.csv,47,OPTIMAL,True,79384.6191647005,7.243217218373205e-08,0.7375531196594238,325,18,5850,180,335,335.0,0.0,1.0
baseline,none,baseline,candidate_vertiports_SF_k9.csv,48,OPTIMAL,True,35705.108723271056,1.19030576982312e-07,1.2106590270996094,152,18,2736,180,156,156.0,0.0,1.0
baseline,none,baseline,candidate_vertiports_SF_k9.csv,49,OPTIMAL,True,30261.817398335257,1.6522470991096821e-07,0.35971808433532715,112,18,2016,180,123,123.0,0.0,1.0
baseline,none,baseline,candidate_vertiports_SF_k9.csv,50,OPTIMAL,True,63142.86601003672,1.0690043448800429e-07,0.5775570869445801,219,18,3942,180,254,254.0,0.0,1.0
