Scenario,ChangedParameter,ChangedValue,CSVFile,BatchIndex,ModelStatus,HasSolution,BatchObjective,MIPGap,RuntimeSeconds,NumOrders,NumValidArcs,NumXVars,NumZVars,BatchDemand,BatchServed,BatchUnserved,BatchServiceRate
price_ground_7p0,price_ground,7.0,candidate_vertiports_SF_k9.csv,1,OPTIMAL,True,78521.28809024989,9.551550335764515e-08,0.8911149501800537,210,18,3780,180,250,250.0,0.0,1.0
price_ground_7p0,price_ground,7.0,candidate_vertiports_SF_k9.csv,2,OPTIMAL,True,99651.69090156157,6.020971790233009e-08,1.052907943725586,205,18,3690,180,302,302.0,0.0,1.0
price_ground_7p0,price_ground,7.0,candidate_vertiports_SF_k9.csv,3,OPTIMAL,True,125499.88833825821,3.784864081875874e-08,0.3250141143798828,290,18,5220,180,386,386.0,0.0,1.0
price_ground_7p0,price_ground,7.0,candidate_vertiports_SF_k9.csv,4,OPTIMAL,True,174402.87519251602,0.0005438981657849683,0.40521907806396484,408,18,7344,180,538,538.0,0.0,1.0
price_ground_7p0,price_ground,7.0,candidate_vertiports_SF_k9.csv,5,OPTIMAL,True,121619.43929797047,5.550099816209802e-08,0.27379703521728516,336,18,6048,180,388,388.0,0.0,1.0
price_ground_7p0,price_ground,7.0,candidate_vertiports_SF_k9.csv,6,OPTIMAL,True,76491.61879001028,7.190330756761959e-08,0.32118892669677734,248,18,4464,180,260,260.0,0.0,1.0
price_ground_7p0,price_ground,7.0,candidate_vertiports_SF_k9.csv,7,OPTIMAL,True,100770.12187803444,6.4503249451267e-08,0.3477818965911865,335,18,6030,180,348,348.0,0.0,1.0
price_ground_7p0,price_ground,7.0,candidate_vertiports_SF_k9.csv,8,OPTIMAL,True,107905.49270079535,4.8653689360175625e-08,0.4076850414276123,363,18,6534,180,372,372.0,0.0,1.0
price_ground_7p0,price_ground,7.0,candidate_vertiports_SF_k9.csv,9,OPTIMAL,True,107672.17772179848,1.892102653700585e-15,0.7360720634460449,379,18,6822,180,387,387.0,0.0,1.0
price_ground_7p0,price_ground,7.0,candidate_vertiports_SF_k9.csv,10,OPTIMAL,True,84054.62125465117,0.007780220320778875,0.7102160453796387,287,18,5166,180,288,288.0,0.0,1.0
price_ground_7p0,price_ground,7.0,candidate_vertiports_SF_k9.csv,11,OPTIMAL,True,66395.3370578065,7.907182141780287e-08,0.7103769779205322,176,18,3168,180,212,212.0,0.0,1.0
price_ground_7p0,price_ground,7.0,candidate_vertiports_SF_k9.csv,12,OPTIMAL,True,106597.23837695134,4.221497945732377e-08,1.0306169986724854,299,18,5382,180,353,353.0,0.0,1.0
price_ground_7p0,price_ground,7.0,candidate_vertiports_SF_k9.csv,13,OPTIMAL,True,145774.36293585264,0.004319917062580933,1.0119261741638184,422,18,7596,180,474,474.0,0.0,1.0
price_ground_7p0,price_ground,7.0,candidate_vertiports_SF_k9.csv,14,OPTIMAL,True,152071.93251718374,0.001574310821905989,1.0304670333862305,466,18,8388,180,512,512.0,0.0,1.0
