Scenario,ChangedParameter,ChangedValue,CSVFile,BatchIndex,ModelStatus,HasSolution,BatchObjective,MIPGap,RuntimeSeconds,NumOrders,NumValidArcs,NumXVars,NumZVars,BatchDemand,BatchServed,BatchUnserved,BatchServiceRate
speed_ground_12p0,speed_ground,12.0,candidate_vertiports_SF_k9.csv,1,OPTIMAL,True,66858.12142358323,1.1217785081435573e-07,0.4174628257751465,210,18,3780,180,250,250.0,0.0,1.0
speed_ground_12p0,speed_ground,12.0,candidate_vertiports_SF_k9.csv,2,OPTIMAL,True,84777.52423489504,7.077347862756978e-08,0.34322094917297363,205,18,3690,180,302,302.0,0.0,1.0
speed_ground_12p0,speed_ground,12.0,candidate_vertiports_SF_k9.csv,3,OPTIMAL,True,106771.22167159179,4.448764559310511e-08,0.45345211029052734,290,18,5220,180,386,386.0,0.0,1.0
speed_ground_12p0,speed_ground,12.0,candidate_vertiports_SF_k9.csv,4,OPTIMAL,True,148437.5418591831,0.0005222672756526703,0.9412698745727539,408,18,7344,180,538,538.0,0.0,1.0
speed_ground_12p0,speed_ground,12.0,candidate_vertiports_SF_k9.csv,5,OPTIMAL,True,103571.10596463748,6.51726205923884e-08,1.006342887878418,336,18,6048,180,388,388.0,0.0,1.0
speed_ground_12p0,speed_ground,12.0,candidate_vertiports_SF_k9.csv,6,OPTIMAL,True,65240.118790009656,8.430395060471862e-08,0.9185760021209717,248,18,4464,180,260,260.0,0.0,1.0
speed_ground_12p0,speed_ground,12.0,candidate_vertiports_SF_k9.csv,7,OPTIMAL,True,85971.78854470133,7.560620301075432e-08,0.615588903427124,335,18,6030,180,348,348.0,0.0,1.0
speed_ground_12p0,speed_ground,12.0,candidate_vertiports_SF_k9.csv,8,OPTIMAL,True,92058.49270079561,5.7028961329196475e-08,0.2662968635559082,363,18,6534,180,372,372.0,0.0,1.0
speed_ground_12p0,speed_ground,12.0,candidate_vertiports_SF_k9.csv,9,OPTIMAL,True,91948.6777217987,3.4817481116226338e-15,0.2706589698791504,379,18,6822,180,387,387.0,0.0,1.0
speed_ground_12p0,speed_ground,12.0,candidate_vertiports_SF_k9.csv,10,OPTIMAL,True,71687.28792131797,0.007460134441983882,0.2611730098724365,287,18,5166,180,288,288.0,0.0,1.0
speed_ground_12p0,speed_ground,12.0,candidate_vertiports_SF_k9.csv,11,OPTIMAL,True,56541.337057806115,9.285241698760621e-08,0.33226490020751953,176,18,3168,180,212,212.0,0.0,1.0
speed_ground_12p0,speed_ground,12.0,candidate_vertiports_SF_k9.csv,12,OPTIMAL,True,90858.57171028489,4.952752647213969e-08,0.5520448684692383,299,18,5382,180,353,353.0,0.0,1.0
