Scenario,ChangedParameter,ChangedValue,CSVFile,BatchIndex,Time,Order,Origin,Destination,Demand,ServedFlow,UnservedFlow,ServiceRate,ModelStatus
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T0,0,360,384,1,1.0,-0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T0,1,384,319,1,1.0,-0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T0,2,399,467,1,1.0,-0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T0,3,403,399,1,1.0,-0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T0,4,417,466,1,1.0,-0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T0,5,421,461,1,1.0,-0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T0,6,422,437,1,1.0,-0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T0,7,423,467,1,1.0,-0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T0,8,438,485,1,1.0,-0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T0,9,441,160,1,1.0,-0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T0,10,441,418,1,1.0,-0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T0,11,443,382,1,1.0,-0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T0,12,443,529,1,1.0,-0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T0,13,444,483,1,1.0,-0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T0,14,465,396,1,1.0,-0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T0,15,465,415,1,1.0,-0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T0,16,466,264,1,1.0,-0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T0,17,466,342,1,1.0,-0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T0,18,466,436,1,1.0,-0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T0,19,467,361,1,1.0,-0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T0,20,467,362,1,1.0,-0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T0,21,467,417,1,1.0,-0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T0,22,468,463,1,1.0,-0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T0,23,483,422,1,1.0,-0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T0,24,483,460,1,1.0,-0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T0,25,483,574,1,1.0,-0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T0,26,484,417,1,1.0,-0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T0,27,484,439,1,1.0,-0.0,1.0,OPTIMAL
