Scenario,ChangedParameter,ChangedValue,CSVFile,BatchIndex,Time,Start_Vertiport,End_Vertiport,PassengerFlow,Flights,AirKM,LoadFactor,ModelStatus
price_air_9p0,price_air,9.0,candidate_vertiports_SF_k9.csv,1,T0,717,449,4.0,1.0,7.654544453228288,1.0,OPTIMAL
price_air_9p0,price_air,9.0,candidate_vertiports_SF_k9.csv,1,T0,449,717,2.0,1.0,7.654544453228288,0.5,OPTIMAL
price_air_9p0,price_air,9.0,candidate_vertiports_SF_k9.csv,1,T0,449,780,1.0,1.0,7.5988976461735085,0.25,OPTIMAL
price_air_9p0,price_air,9.0,candidate_vertiports_SF_k9.csv,1,T0,449,782,1.0,1.0,8.307228591621705,0.25,OPTIMAL
price_air_9p0,price_air,9.0,candidate_vertiports_SF_k9.csv,1,T0,780,449,2.0,1.0,7.5988976461735085,0.5,OPTIMAL
price_air_9p0,price_air,9.0,candidate_vertiports_SF_k9.csv,1,T0,645,584,6.0,2.0,6.120633980923698,0.75,OPTIMAL
price_air_9p0,price_air,9.0,candidate_vertiports_SF_k9.csv,1,T0,645,716,4.0,1.0,6.119583921765259,1.0,OPTIMAL
price_air_9p0,price_air,9.0,candidate_vertiports_SF_k9.csv,1,T0,645,782,6.0,2.0,6.648538664474961,0.75,OPTIMAL
price_air_9p0,price_air,9.0,candidate_vertiports_SF_k9.csv,1,T0,584,645,2.0,1.0,6.120633980923698,0.5,OPTIMAL
price_air_9p0,price_air,9.0,candidate_vertiports_SF_k9.csv,1,T0,716,449,1.0,1.0,6.9808165272573826,0.25,OPTIMAL
price_air_9p0,price_air,9.0,candidate_vertiports_SF_k9.csv,1,T0,716,645,3.0,1.0,6.119583921765259,0.75,OPTIMAL
price_air_9p0,price_air,9.0,candidate_vertiports_SF_k9.csv,1,T0,782,449,2.0,1.0,8.307228591621705,0.5,OPTIMAL
price_air_9p0,price_air,9.0,candidate_vertiports_SF_k9.csv,1,T1,717,449,2.0,1.0,7.654544453228288,0.5,OPTIMAL
price_air_9p0,price_air,9.0,candidate_vertiports_SF_k9.csv,1,T1,449,780,1.0,1.0,7.5988976461735085,0.25,OPTIMAL
price_air_9p0,price_air,9.0,candidate_vertiports_SF_k9.csv,1,T1,449,782,1.0,1.0,8.307228591621705,0.25,OPTIMAL
price_air_9p0,price_air,9.0,candidate_vertiports_SF_k9.csv,1,T1,780,449,1.0,1.0,7.5988976461735085,0.25,OPTIMAL
price_air_9p0,price_air,9.0,candidate_vertiports_SF_k9.csv,1,T1,645,584,1.0,1.0,6.120633980923698,0.25,OPTIMAL
price_air_9p0,price_air,9.0,candidate_vertiports_SF_k9.csv,1,T1,645,716,3.0,1.0,6.119583921765259,0.75,OPTIMAL
price_air_9p0,price_air,9.0,candidate_vertiports_SF_k9.csv,1,T1,645,782,4.0,1.0,6.648538664474961,1.0,OPTIMAL
price_air_9p0,price_air,9.0,candidate_vertiports_SF_k9.csv,1,T1,584,645,2.0,1.0,6.120633980923698,0.5,OPTIMAL
price_air_9p0,price_air,9.0,candidate_vertiports_SF_k9.csv,1,T1,716,645,4.0,1.0,6.119583921765259,1.0,OPTIMAL
price_air_9p0,price_air,9.0,candidate_vertiports_SF_k9.csv,1,T1,782,449,2.0,1.0,8.307228591621705,0.5,OPTIMAL
price_air_9p0,price_air,9.0,candidate_vertiports_SF_k9.csv,1,T1,782,645,1.0,1.0,6.648538664474961,0.25,OPTIMAL
price_air_9p0,price_air,9.0,candidate_vertiports_SF_k9.csv,1,T2,713,449,2.0,1.0,6.0045260388064,0.5,OPTIMAL
price_air_9p0,price_air,9.0,candidate_vertiports_SF_k9.csv,1,T2,449,717,3.0,1.0,7.654544453228288,0.75,OPTIMAL
price_air_9p0,price_air,9.0,candidate_vertiports_SF_k9.csv,1,T2,449,780,1.0,1.0,7.5988976461735085,0.25,OPTIMAL
price_air_9p0,price_air,9.0,candidate_vertiports_SF_k9.csv,1,T2,449,782,1.0,1.0,8.307228591621705,0.25,OPTIMAL
price_air_9p0,price_air,9.0,candidate_vertiports_SF_k9.csv,1,T2,780,449,1.0,1.0,7.5988976461735085,0.25,OPTIMAL
price_air_9p0,price_air,9.0,candidate_vertiports_SF_k9.csv,1,T2,645,584,2.0,1.0,6.120633980923698,0.5,OPTIMAL
price_air_9p0,price_air,9.0,candidate_vertiports_SF_k9.csv,1,T2,645,716,1.0,1.0,6.119583921765259,0.25,OPTIMAL
price_air_9p0,price_air,9.0,candidate_vertiports_SF_k9.csv,1,T2,645,782,5.0,2.0,6.648538664474961,0.625,OPTIMAL
price_air_9p0,price_air,9.0,candidate_vertiports_SF_k9.csv,1,T2,584,645,4.0,1.0,6.120633980923698,1.0,OPTIMAL
