Scenario,ChangedParameter,ChangedValue,CSVFile,TotalObjective,TotalDemand,TotalServed,TotalUnserved,ServiceRate,AvgGroundStartKM,AvgAirKM,AvgGroundEndKM,AvgTotalTravelKM,UsedVertiports,UsedRoutes,TotalFlights,AverageLoadFactor,OptimalBatches,TimeLimitBatches,NoSolutionBatches
baseline,none,baseline,candidate_vertiports_SF_k9.csv,3935166.50103469,16117.0,16117.0,0.0,1.0,15.913941800583235,7.211968868142581,15.621517652168517,38.74742832089433,8,18,6345.0,0.6350275807722616,50,0,0
VOT_10p0,VOT,10.0,candidate_vertiports_SF_k9.csv,3645122.947774899,16117.0,16117.0,0.0,1.0,15.907706148786994,7.211855899035152,15.628683998262703,38.74824604608485,8,18,6345.0,0.6350275807722616,50,0,0
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,4225280.521184564,16117.0,16117.0,0.0,1.0,15.899329900105478,7.211968868142581,15.636129552646274,38.74742832089433,8,18,6345.0,0.6350275807722616,50,0,0
VOT_40p0,VOT,40.0,candidate_vertiports_SF_k9.csv,4515392.391415858,16117.0,16117.0,0.0,1.0,15.912638828566111,7.212228011699896,15.622541415896258,38.74740825616227,8,18,6345.0,0.6350275807722616,50,0,0
price_ground_3p0,price_ground,3.0,candidate_vertiports_SF_k9.csv,2912955.8479032232,16117.0,16117.0,0.0,1.0,15.997890426257989,7.055842344183193,15.722497983495687,38.77623075393687,8,16,6069.0,0.6639067391662548,50,0,0
price_ground_7p0,price_ground,7.0,candidate_vertiports_SF_k9.csv,4951673.795233908,16117.0,16117.0,0.0,1.0,15.912359620276726,7.212228011699896,15.622820624185643,38.74740825616227,8,18,6346.0,0.6349275133942641,50,0,0
price_air_5p0,price_air,5.0,candidate_vertiports_SF_k9.csv,3702772.155792846,16117.0,16117.0,0.0,1.0,15.911335856548986,7.212115042592467,15.624775082211329,38.74822598135278,8,18,6344.0,0.6351276796973518,50,0,0
price_air_9p0,price_air,9.0,candidate_vertiports_SF_k9.csv,4162863.3345729797,16117.0,16117.0,0.0,1.0,15.985419122665508,7.057236985381393,15.732828690202892,38.77548479824979,8,16,6073.0,0.6634694549645974,50,0,0
price_air_11p0,price_air,11.0,candidate_vertiports_SF_k9.csv,4390608.441578691,16117.0,16117.0,0.0,1.0,16.0098033132717,7.043269809087058,15.736551467394676,38.78962458975343,8,16,6083.0,0.6623787604800263,50,0,0
speed_ground_12p0,speed_ground,12.0,candidate_vertiports_SF_k9.csv,4217531.294233922,16117.0,16117.0,0.0,1.0,15.90035366383322,7.212228011699896,15.634826580629149,38.74740825616226,8,18,6345.0,0.6350275807722616,50,0,0
speed_ground_25p0,speed_ground,25.0,candidate_vertiports_SF_k9.csv,3777076.901034693,16117.0,16117.0,0.0,1.0,15.913197245144879,7.211968868142581,15.622634485326053,38.74780059861351,8,18,6345.0,0.6350275807722616,50,0,0
speed_air_100p0,speed_air,100.0,candidate_vertiports_SF_k9.csv,3942915.521184555,16117.0,16117.0,0.0,1.0,15.906030899050691,7.211968868142581,15.62942855370106,38.74742832089433,8,18,6345.0,0.6350275807722616,50,0,0
speed_air_200p0,speed_air,200.0,candidate_vertiports_SF_k9.csv,3931291.9909597654,16117.0,16117.0,0.0,1.0,15.907240801638022,7.211968868142581,15.62821865111373,38.74742832089433,8,18,6345.0,0.6350275807722616,50,0,0
GRID_CELL_SIZE_KM_0p75,GRID_CELL_SIZE_KM,0.75,candidate_vertiports_SF_k9.csv,2372756.8333720085,16117.0,16117.0,0.0,1.0,8.05339082955885,6.97578871881391,7.89456784761432,22.92374739598708,7,14,6071.0,0.6636880250370615,50,0,0
GRID_CELL_SIZE_KM_2p25,GRID_CELL_SIZE_KM,2.25,candidate_vertiports_SF_k9.csv,5488162.093807486,16117.0,16117.0,0.0,1.0,23.856114661537507,7.2123436924222,23.446516101011355,54.51497445497106,8,18,6345.0,0.6350275807722616,50,0,0
NUM_VEHICLES_10,NUM_VEHICLES,10,candidate_vertiports_SF_k9.csv,15995765.371637208,16117.0,14881.0,1236.0,0.9233107898492275,16.022915126671595,7.090032076629162,15.681103420469055,38.79405062376981,8,18,4598.0,0.80910178338408,50,0,0
NUM_VEHICLES_40,NUM_VEHICLES,40,candidate_vertiports_SF_k9.csv,3932047.4953042655,16117.0,16117.0,0.0,1.0,15.895793261773283,7.212346836749266,15.607557237699323,38.71569733622187,8,18,6385.0,0.6310493343774471,50,0,0
